,Ambient temperature / degC,Battery storage profile / kWh,Collector system input temperature / degC,Collector system output temperature / degC,Dumped electricity / kWh,Electricity demand / kWh,Electricity demand met through the grid / kWh,Electricity demand met through solar collectors / kWh,Electricity demand met through storage / kWh,Hot-water demand temperature / degC,Hot-water demand volume / kg/s,PV-T collector output temperature / degC,Renewable heating fraction,Solar-thermal collector output temperature / degC,Tank temperature / degC,Undegraded PV electric efficiencies,Degraded PV electric efficiencies,Undegraded PV electric output power / kW,Degraded PV electric output power / kW,Undegraded Total PV electric power produced / kW,Degraded Total PV electric power produced / kW,Undegraded PV-T electric efficiencies,Degraded PV-T electric efficiencies,Undegraded PV-T electric output power / kW,Degraded PV-T electric output power / kW,Undegraded Total PV-T electric power produced / kW,Degraded Total PV-T electric power produced / kW,PV-T output temperature / degC,PV-T reduced temperature / degC/W/m^2,PV-T thermal efficiency,Solar-thermal output temperature / degC,Solar-thermal reduced temperature / degC/W/m^2,Solar-thermal thermal efficiency,Solar irradiance / W/m^2
9,27.774531143052684,16.561918170011456,53.67871146697439,63.09701444797855,3411.074011080791,344.3310766392257,0.0,344.3310766392257,0.0,80.0,4.3,58.707490809219564,0.49600665902831415,63.09701444797855,53.67871146697439,0.16713441705462012,0.14601663705425375,0.13709005374754424,0.11976844132146368,4112.701612426327,3593.0532396439103,0.15803330813073632,0.13806547210600928,0.15682106323670453,0.13700639686685692,185.83295993549487,162.35258028722544,58.707490809219564,0.05624360671636421,0.36366323183614196,63.09701444797855,0.06564230846532021,0.47553418870976644,504.6702692219947
10,28.276068902578174,16.561918170011456,66.19179210779936,78.67329786893413,4896.861558158812,277.07245163416434,0.0,277.07245163416434,0.0,80.0,4.3,72.83196707547063,0.7330402465699497,78.67329786893413,66.19179210779936,0.1667610322234086,0.1456904301703493,0.1892972073887672,0.16537911289472113,5678.916221663017,4961.373386841634,0.14950790971326455,0.1306172754484647,0.20531917423572216,0.17937667102317387,243.30322146933077,212.56135516246104,72.83196707547063,0.05897194137005009,0.3473477906071004,78.67329786893413,0.06797699766415596,0.4572635443343752,698.4210130047923
11,28.436477298653926,16.561918170011456,76.72071008538381,91.08671574129414,5983.757729715464,221.55649623640767,0.0,221.55649623640767,0.0,80.0,4.3,84.34445696530065,0.9364029115386528,91.08671574129414,76.72071008538381,0.1666416113806981,0.14558609839862885,0.2274678698488835,0.198726833039865,6824.036095466506,5961.80499119595,0.1424326745579357,0.12443601091925927,0.2352133354514405,0.2054936430101607,278.727802509957,243.50996696704044,84.34445696530065,0.06199652697286058,0.32926076870229365,91.08671574129414,0.07058255881372073,0.4389077231242987,839.8549167237055
12,28.59641341546893,16.561918170011456,83.93183451221199,98.77015545594116,6528.032730622702,183.75284608107035,0.0,183.75284608107035,0.0,80.0,4.3,91.73096442991721,1.0764894975907227,98.77015545594116,83.93183451221199,0.16652254214045167,0.1454820738036724,0.24634415899339757,0.21521806392766535,7390.324769801927,6456.54191782996,0.137757883633619,0.12035188951727778,0.24654795583987127,0.21539611062019443,292.1593276702475,255.2443910849304,91.73096442991721,0.0650443682729902,0.3110346777275185,98.77015545594116,0.07323020837991857,0.422822338403965,910.2001483002517
13,28.757437827971728,16.561918170011456,87.29687224218804,101.39442912773751,6533.462937379356,166.25653410677518,0.0,166.25653410677518,0.0,80.0,4.3,94.59282939218878,1.1423986610523387,101.39442912773751,87.29687224218804,0.1664026626858316,0.14537734136660768,0.24603008427822404,0.21494367320371036,7380.902528346721,6448.310196111311,0.13576383864767647,0.11860979624819921,0.24284421367510023,0.21216034395437855,287.77039320499375,251.41000758593856,94.59282939218878,0.06832422209446835,0.29142115187507917,101.39442912773751,0.07610927082426712,0.40877802069933616,909.6945836185274
14,28.64599361168149,16.561918170011456,86.20917614980044,98.17543644600204,5940.499017719046,171.86231448229987,0.0,171.86231448229987,0.0,80.0,4.3,92.21217424053901,1.1209092841335324,98.17543644600204,86.20917614980044,0.16648563067597535,0.14544982617923596,0.2243961794036028,0.19604325704878114,6731.885382108084,5881.297711463434,0.1368748763206162,0.11958045200840824,0.22319175612399642,0.19499101514686032,264.48223100693576,231.0643529490295,92.21217424053901,0.07299231680261939,0.26350594552033596,98.17543644600204,0.08024674247729068,0.3931421540494768,829.2898836413409
15,28.534608715491686,16.561918170011456,80.80516266662659,89.58265845863843,4818.235450809395,200.115905485274,0.0,200.115905485274,0.0,80.0,4.3,84.94016238990969,1.0156447400190844,89.58265845863843,80.80516266662659,0.16656855450349073,0.1455222724092755,0.18403025936130996,0.16077765466689536,5520.9077808392985,4823.329640006861,0.14093468047895216,0.12312729149692223,0.18837783590824517,0.16457590590626733,223.2277355512705,195.0224484989268,84.94016238990969,0.0798908654696827,0.22225262449129735,89.58265845863843,0.08639178819971141,0.37338746413389967,679.7729614419366
16,28.42394934976039,16.561918170011456,71.75420667443097,76.68031391447965,3310.6866743166024,247.64755717906803,0.0,247.64755717906803,0.0,80.0,4.3,73.69826928950943,0.8401235995852522,76.68031391447965,71.75420667443097,0.16665093818809038,0.14559424674457622,0.1302585002133191,0.11380006873547702,3907.755006399573,3414.0020620643104,0.14743361826989437,0.12880507502817456,0.13941533331696132,0.1217999169978726,165.20716998059916,144.33290164247902,73.69826928950943,0.09206748807932415,0.1494364212856415,76.68031391447965,0.09724295367406832,0.3390160328354513,480.91240018252387
17,28.367960301163578,16.561918170011456,59.928152087918136,60.647356747726974,1558.87078361737,309.8791152216452,0.0,309.8791152216452,0.0,80.0,4.3,59.53999331939309,0.6112520824441843,60.647356747726974,59.928152087918136,0.16669262091498974,0.14563066277253955,0.06825279296283084,0.05962891111012675,2047.583788884925,1788.8673333038025,0.1557691407364413,0.13608738695473366,0.07716159278325757,0.06741206560871894,91.43648744816022,79.88329774633195,59.53999331939309,0.12434001935411149,-0.043553315737586806,60.647356747726974,0.12593304290593207,0.24032034207791916,251.9252612365965
18,28.311688341318813,16.561918170011456,50.203071188600234,47.09581177608777,358.1930651829049,30.0,0.0,30.0,0.0,,0.0,47.72183913460469,,47.09581177608777,50.203071188600234,0.16673451426365496,0.14566726280977207,0.014151454122488088,0.012363388563577401,424.5436236746426,370.90165690732204,0.16266821007045495,0.1421147445792712,0.016702979724532514,0.014592523617469991,19.793030973571028,17.29214048670194,47.72183913460469,0.3947534314277106,-1.6606255199377096,47.09581177608777,0.3657000690035524,-0.6554237337955147,52.22076431667808
19,28.256723705224772,8.939578623223756,41.91002520447978,39.04388180258729,0.0,30.0,8.573012526449222,14.185764904102463,7.241222569448315,,0.0,39.778019553987235,,39.04388180258729,41.91002520447978,0.16677543433593425,0.1457030125461073,0.0005164061226780878,0.0004511571387659702,15.492183680342634,13.534714162979107,0.16787461397367023,0.1466633085584377,0.0006288687821492091,0.0005494099081209755,0.7452095068468128,0.6510507411233559,39.778019553987235,6.584523149215308,-38.67544843230754,39.04388180258729,5.854806014077779,-21.06796870858929,1.905140314852844
20,28.169623545516743,8.939578623223756,36.6181608731693,34.77786613149851,0.0,30.0,30.0,0.0,0.0,,0.0,35.23859621685989,,34.77786613149851,36.6181608731693,0.16684027866283369,0.14575966365790555,,,0.0,0.0,,,0.0,0.0,0.0,0.0,35.23859621685989,,,34.77786613149851,,,0.0
21,28.08286333561483,8.939578623223756,33.333374374858465,32.19133151720109,0.0,30.0,30.0,0.0,0.0,,0.0,32.475833778574156,,32.19133151720109,33.333374374858465,0.16690486990390146,0.14581609366179157,,,0.0,0.0,,,0.0,0.0,0.0,0.0,32.475833778574156,,,32.19133151720109,,,0.0
22,27.99804243668717,8.939578623223756,31.242228396564656,30.510940423963177,0.0,30.0,30.0,0.0,0.0,,0.0,30.684195314809358,,30.510940423963177,31.242228396564656,0.16696801736673514,0.14587126231181574,,,0.0,0.0,,,0.0,0.0,0.0,0.0,30.684195314809358,,,30.510940423963177,,,0.0
23,27.808507871321012,8.939578623223756,29.85063976513129,29.358951964213134,0.0,30.0,30.0,0.0,0.0,,0.0,29.46556740795978,,29.358951964213134,29.85063976513129,0.16710912205995893,0.14599453813459481,,,0.0,0.0,,,0.0,0.0,0.0,0.0,29.46556740795978,,,29.358951964213134,,,0.0
