,Ambient temperature / degC,Battery storage profile / kWh,Collector system input temperature / degC,Collector system output temperature / degC,Dumped electricity / kWh,Electricity demand / kWh,Electricity demand met through the grid / kWh,Electricity demand met through solar collectors / kWh,Electricity demand met through storage / kWh,Hot-water demand temperature / degC,Hot-water demand volume / kg/s,PV-T collector output temperature / degC,Renewable heating fraction,Solar-thermal collector output temperature / degC,Tank temperature / degC,Undegraded PV electric efficiencies,Degraded PV electric efficiencies,Undegraded PV electric output power / kW,Degraded PV electric output power / kW,Undegraded Total PV electric power produced / kW,Degraded Total PV electric power produced / kW,Undegraded PV-T electric efficiencies,Degraded PV-T electric efficiencies,Undegraded PV-T electric output power / kW,Degraded PV-T electric output power / kW,Undegraded Total PV-T electric power produced / kW,Degraded Total PV-T electric power produced / kW,PV-T output temperature / degC,PV-T reduced temperature / degC/W/m^2,PV-T thermal efficiency,Solar-thermal output temperature / degC,Solar-thermal reduced temperature / degC/W/m^2,Solar-thermal thermal efficiency,Solar irradiance / W/m^2
9,30.089999999999975,16.561918170011456,72.90139648903642,88.04193733191715,5812.22907716413,240.4174314231235,0.0,240.4174314231235,0.0,80.0,4.3,81.0942227665966,0.857771919235352,88.04193733191715,72.90139648903642,0.1654105968,0.14451062506162282,0.22166755218300002,0.19365939753289874,6650.02656549,5809.781925986962,0.1446958880824947,0.12641326272421702,0.23459064724848747,0.2049496327522445,277.98991698945764,242.86531481140975,81.0942227665966,0.05685991896579983,0.35997768458451695,88.04193733191715,0.06607167725765818,0.4606887222374285,824.53
10,30.20999999999998,16.561918170011456,85.55988928706137,103.01860329269238,7142.526810678124,176.14363307939487,0.0,176.14363307939487,0.0,80.0,4.3,94.96661886339228,1.1116667862434497,103.01860329269238,85.55988928706137,0.1653212592,0.14443257545254537,0.268660969533,0.234715099201404,8059.82908599,7041.452976042119,0.13619945124890076,0.11899036829440104,0.26777309473080585,0.23393940922069084,317.31111725600493,277.21819992651865,94.96661886339228,0.06002962150232348,0.34102286341610555,103.01860329269238,0.06879155398005976,0.44028253971438586,999.87
11,30.329999999999984,16.561918170011456,94.63675662369258,112.9412420105212,7894.598002013897,130.2967039899617,0.0,130.2967039899617,0.0,80.0,4.3,104.43739554108811,1.2946800206098765,112.9412420105212,94.63675662369258,0.1652319216,0.14435452584346795,0.29506739611800004,0.2577850190569994,8852.021883540001,7733.550571709982,0.13025955538337933,0.11380099058261317,0.28141845145324146,0.2458606468396581,333.4808649720911,291.34486650499485,104.43739554108811,0.06295512866181938,0.32352833060232006,112.9412420105212,0.07131743522198576,0.42314825078617607,1098.74
12,30.44999999999999,16.561918170011456,99.387353111918,117.1104658381143,8028.491928415617,106.50298260633065,0.0,106.50298260633065,0.0,80.0,4.3,108.7713920308197,1.3912684785452674,117.1104658381143,99.387353111918,0.16514258399999998,0.1442764762343905,0.29935265415000006,0.2615288258549606,8980.579624500002,7845.864775648819,0.12735028284080738,0.11125931065560084,0.2792798857209178,0.2439922933200397,330.9466645792876,289.1308675842471,108.7713920308197,0.06598348546092554,0.30541875694366516,117.1104658381143,0.07396299554780511,0.4087880485396494,1115.3
13,30.329999999999984,16.561918170011456,98.25136855115358,113.23365141383891,7285.3860414021265,112.01237165191513,0.0,112.01237165191513,0.0,80.0,4.3,105.9606051955601,1.3674525579052461,113.23365141383891,98.25136855115358,0.1652319216,0.14435452584346795,0.27211973880300006,0.237736845805438,8163.5921640900015,7132.10537416314,0.12861465383737755,0.11236392575619845,0.2562549432888017,0.22387660008609223,303.66210779723,265.29377110201926,105.9606051955601,0.07079737098366955,0.276631721517656,113.23365141383891,0.0782274850286685,0.39242319138630744,1013.29
14,30.20999999999998,16.561918170011456,91.54924436600459,102.48725352483945,5876.898037506965,145.7735866116884,0.0,145.7735866116884,0.0,80.0,4.3,96.8640224991895,1.2319591156056353,102.48725352483945,91.54924436600459,0.1653212592,0.14443257545254537,0.221241517101,0.1932871928665167,6637.24551303,5798.615785995501,0.13367471053280178,0.1167846338005999,0.21642273576944537,0.18907727454368864,256.4609418867928,224.05657033427107,96.8640224991895,0.07768105034363323,0.23546731894507317,102.48725352483945,0.08436541373105635,0.37338117057251746,823.39
15,30.089999999999975,16.561918170011456,81.39812307228419,88.28360412398723,4260.816835469883,197.22949212478258,0.0,197.22949212478258,0.0,80.0,4.3,84.39197138889853,1.0280128846380323,88.28360412398723,81.39812307228419,0.1654105968,0.14451062506162282,0.16343925833400003,0.14278836929663016,4903.1777500200005,4283.651078898904,0.1409200892530721,0.12311454390267411,0.1684541329841541,0.1471696041408264,199.61814758622262,174.3959809068793,84.39197138889853,0.08680960169672253,0.18087858185359917,88.28360412398723,0.09252193926447165,0.3499799811025004,607.94
16,29.649999999999977,16.561918170011456,67.92743477743232,69.97114521621285,2287.6044125433395,266.2405120064972,0.0,266.2405120064972,0.0,80.0,4.3,68.19644057062351,0.7602271058079907,69.97114521621285,67.92743477743232,0.165738168,0.1447968069615734,0.09338909871500001,0.08158919253259261,2801.67296145,2447.6757759777784,0.15043786849244037,0.13142973200844393,0.10255256527907558,0.08959483610394718,121.52478985570457,106.16988078317742,68.19644057062351,0.11065235628028902,0.0382989094438716,69.97114521621285,0.11374366983016,0.27987032094539493,346.69
17,29.19999999999999,16.561918170011456,51.84290236249228,48.66453195230207,56.51374043507111,350.0075925696917,0.0,350.0075925696917,0.0,80.0,4.3,49.30455399786683,0.44572642445850963,48.66453195230207,51.84290236249228,0.166073184,0.14508949299561383,0.014821197380000001,0.0129485083723819,444.63592140000003,388.455251171457,0.16163197791725753,0.1412094425063419,0.017451259368555135,0.015246256577573777,20.679742351737833,18.066814044424923,49.30455399786683,0.388692508145279,-1.6243811987087688,48.66453195230207,0.36030855900718334,-0.6372583935911502,54.91
18,28.75,8.939578623223756,43.02689516315428,39.96976628513005,0.0,30.0,22.758777430551685,0.0,7.241222569448315,,0.0,40.76181179614326,,39.96976628513005,43.02689516315428,0.1664082,0.1453821790296542,,,0.0,0.0,,,0.0,0.0,0.0,0.0,40.76181179614326,,,39.96976628513005,,,0.0
19,28.019999999999982,8.939578623223756,37.30486921296409,35.321437523517375,0.0,30.0,30.0,0.0,0.0,,0.0,35.831455250532656,,35.321437523517375,37.30486921296409,0.1669516704,0.14585698081820858,,,0.0,0.0,,,0.0,0.0,0.0,0.0,35.831455250532656,,,35.321437523517375,,,0.0
20,27.29000000000002,8.939578623223756,33.44986330052092,32.109477725033514,0.0,30.0,30.0,0.0,0.0,,0.0,32.443863641038035,,32.109477725033514,33.44986330052092,0.16749514079999997,0.14633178260676297,,,0.0,0.0,,,0.0,0.0,0.0,0.0,32.443863641038035,,,32.109477725033514,,,0.0
21,26.560000000000002,8.939578623223756,30.74890240204013,29.804299943399656,0.0,30.0,30.0,0.0,0.0,,0.0,30.02843059888761,,29.804299943399656,30.74890240204013,0.1680386112,0.14680658439531738,,,0.0,0.0,,,0.0,0.0,0.0,0.0,30.02843059888761,,,29.804299943399656,,,0.0
22,26.730000000000018,8.939578623223756,29.12005913328892,28.54453217914255,0.0,30.0,30.0,0.0,0.0,,0.0,28.669397998109957,,28.54453217914255,29.12005913328892,0.16791204959999997,0.14669601411579097,,,0.0,0.0,,,0.0,0.0,0.0,0.0,28.669397998109957,,,28.54453217914255,,,0.0
23,26.899999999999977,8.939578623223756,28.220444083450673,27.902596386826986,0.0,30.0,30.0,0.0,0.0,,0.0,27.9714356607455,,27.902596386826986,28.220444083450673,0.167785488,0.14658544383626465,,,0.0,0.0,,,0.0,0.0,0.0,0.0,27.9714356607455,,,27.902596386826986,,,0.0
